applicant_id,age,income,employment_years,credit_score,loan_amount,loan_term_months,existing_loans_count,marital_status,education_level,loan_purpose,loan_approved
0416b4b0-1b1a-46aa-90be-74cfd5f6d284,32,142733,19,498,34897,60,1,Married,Master,Business,1
1eadab40-bcc4-4541-94dd-e8c205b5312c,42,72129,31,740,32618,60,3,Married,High School,Business,0
3587aa05-1460-46e4-b3ba-ee054ca8eff7,64,107267,11,444,43695,12,0,Divorced,PhD,Personal,0
75c82327-7f0d-4e16-ba28-b8c00394f43c,45,106209,15,358,7095,60,2,Married,Bachelor,Home,1
49f7a5da-878d-496c-a458-958a18b87466,47,118833,7,442,49800,12,0,Married,High School,Home,0
a0f0883a-a5ed-4268-b294-3a1421604d53,62,72044,13,522,14018,48,3,Married,High School,Car,1
ed60416a-9061-401b-a0e9-1f757dcc3277,48,111378,17,399,42463,36,1,Divorced,Master,Home,0
032ec71f-1866-4ffa-9ae7-f7383e98ecbd,36,109363,29,325,38537,36,2,Divorced,Bachelor,Car,0
484b41b5-fddd-43d5-b0b8-9389a6416176,35,78817,32,731,28098,60,4,Single,Bachelor,Car,1
3651f3a1-1aa9-4c4e-b74f-0e9d01d0a1bc,64,123038,33,825,33546,48,2,Single,PhD,Business,1
d3485956-f3ec-46e5-b65a-85250105e99c,23,66666,33,421,46416,48,0,Divorced,High School,Personal,0
fc9e0900-5958-4c06-9c69-c92f6f951ccc,57,46173,6,764,14264,12,2,Single,PhD,Personal,1
763974a3-02fe-43b8-9c56-3ac52a961b4a,27,38909,5,564,10367,12,0,Single,Bachelor,Personal,1
d3741c9d-d801-4e62-ac4a-e35e13369643,41,83967,5,306,35525,48,2,Married,High School,Personal,0
6f1847b1-29fb-4263-b786-26543cb57b89,29,51007,21,519,26014,60,0,Single,Bachelor,Personal,0
0a05dbf3-ad01-4c57-af63-bb1412b40970,59,32985,7,695,29082,60,1,Divorced,PhD,Car,0
fb999a01-3afa-4006-93a0-000f30960d34,38,138449,36,756,32059,48,1,Divorced,PhD,Car,1
f08d1155-5fd0-4332-a494-4a84ce5636f9,24,42525,14,407,20163,36,0,Married,Master,Home,0
49aa40a9-b02a-4f36-8406-829991a7bf2e,45,132293,25,791,10502,36,0,Single,PhD,Home,1
0fef58f2-7d5f-4c9d-99b4-66770905b9b5,34,121046,38,759,31874,12,4,Single,High School,Car,1
d5f554b5-143b-448c-9e00-f7eed040e31b,29,57403,2,308,19576,48,0,Divorced,High School,Car,0
6b56fe51-d108-4223-817d-c1494de4b092,46,57193,9,666,33505,36,3,Single,PhD,Car,0
42f871d3-cec7-491c-bae1-e0a9de1c5a8a,22,126965,2,424,42168,60,0,Married,Bachelor,Personal,1
16cc70a7-4243-411c-b9ba-f10b3fb14e64,40,23830,29,461,18899,24,1,Married,High School,Car,0
171f4752-0aa2-4117-b178-d593035ba6c7,48,76144,21,335,23026,24,2,Single,Master,Personal,1
e1d21357-6bec-45d4-9a6d-50caa98ddbcc,27,20533,2,303,22401,48,1,Married,High School,Car,0
c222dc6b-c082-433f-b1f2-3ffd9fa6c3d8,64,132554,0,712,10617,12,3,Single,Master,Car,1
7adc2279-84d5-4e75-905b-1ce6f7bc6597,28,40946,32,386,16665,24,2,Married,High School,Car,0
f8a67e92-2ba3-4556-8c98-df4fd89d3fa0,55,43504,18,782,37412,60,1,Single,PhD,Personal,0
f9efc887-9ec8-4641-b685-77cfb12afc38,34,130551,35,357,9471,60,0,Divorced,PhD,Car,1
0339725a-a0e7-4477-9b06-2fdf4772b73f,37,75715,33,439,25850,60,0,Married,Bachelor,Personal,0
e2aef405-e548-4de1-8e65-c23fe27daf5e,56,48255,30,471,49443,24,2,Married,PhD,Business,0
1df18376-c506-48ec-99e3-c018e772fb1f,60,76441,23,559,25634,36,4,Married,Master,Home,1
76af969b-aeae-4fdc-9e79-8e46dd8d3ada,24,56855,11,794,19877,60,3,Single,PhD,Business,1
e9c54813-4c22-4da0-8335-d250e7ad39ce,22,61721,12,324,17969,12,1,Divorced,Bachelor,Home,1
c21f26da-2313-49a4-859e-a84bb7a67f41,26,131597,15,497,20434,48,1,Single,High School,Business,1
7fa1f37b-b51d-44e2-ab48-527367a52130,62,61850,15,722,41045,48,3,Single,High School,Home,0
917fb283-ca7a-4428-933a-0e85a4e19b76,24,120659,19,417,10955,48,1,Single,High School,Personal,1
05709019-1541-4b81-9a43-538a71e4ed24,49,54723,26,305,17131,36,2,Married,Bachelor,Car,1
04d4a442-f0b1-4884-9850-489826281f07,38,55739,38,396,16136,48,4,Single,PhD,Car,1
9bdfb1dc-95c6-490a-9f43-baab181917ef,46,149357,12,371,24883,48,2,Married,Bachelor,Home,1
a6d80aa3-7493-4039-8195-d14118a2b9b3,64,147929,3,731,16110,24,4,Single,PhD,Business,1
1480097f-5692-4ef8-b72e-13a789945ee6,54,25539,31,679,6444,36,0,Married,High School,Personal,1
194b4a2e-5b3d-4b4e-9301-c0b0858f0cb4,30,93029,39,849,20008,36,4,Divorced,High School,Car,1
f3bed142-e4cb-434b-af76-a9d43bbe38a0,56,84509,33,355,46047,24,4,Married,PhD,Home,0
a2cd6843-e175-4a99-b9a6-682f2492f769,34,136360,38,402,36932,12,4,Married,Master,Personal,1
3586bfe9-9088-4da1-80a4-6c6cf13f488a,51,121140,16,515,37780,48,1,Divorced,High School,Car,1
12d52527-aaf4-4b3b-8062-6fd3efe76511,35,41311,23,320,32504,12,4,Single,Master,Car,0
bf5ec207-8ce4-4c38-8efd-773a5281d5a5,28,123243,28,509,36713,24,3,Married,Bachelor,Personal,1
d0af1033-c69e-4c8e-85ef-705cfceb7046,34,89180,27,590,35373,24,0,Married,PhD,Car,0
ac550f02-ab2f-41d5-9af4-43db6da9b93e,43,136985,21,487,26660,24,0,Married,High School,Home,1
260ddb49-6c41-466d-b4b8-9619c84e58ba,60,105981,27,450,46279,24,1,Divorced,Bachelor,Personal,0
5c224218-604c-4115-9459-ed7fb23cd6e6,41,55934,24,490,25771,60,2,Married,High School,Personal,0
aaaa3738-5cd4-4c20-a50b-95acdf6ee319,36,29511,2,706,18927,24,3,Married,Master,Car,0
f91b3fa5-d585-41ab-acc9-c5534a17f6c7,38,20183,12,513,19958,12,2,Divorced,Master,Home,0
663551a0-c2a6-44cd-b5c8-0d5976e83f2f,44,29475,30,777,26252,24,4,Single,High School,Car,0
36ecf30d-428f-4fcb-bfd4-abb4d707110f,46,104766,12,493,43538,12,2,Divorced,PhD,Car,0
3b1fd660-3ad8-482a-a55a-4cbc420d667b,45,83130,17,549,36559,24,3,Single,Master,Business,0
85268450-34d9-44df-b455-e3bfded6d915,61,79577,36,340,18211,24,1,Divorced,High School,Business,1
07633df5-3045-48a0-96d9-886bea8769cf,49,146968,33,669,32025,60,1,Married,Bachelor,Home,1
fbfd9323-1ad2-4b56-bc18-4ad1ad45dba9,35,46008,16,319,11199,24,4,Divorced,Bachelor,Business,1
4a4cc492-5964-4f39-85c3-01a73eda65aa,21,96868,20,308,22480,48,3,Single,Master,Personal,1
c9b28fbc-98f0-4377-b5c5-22157985f16c,45,67941,35,502,22353,60,1,Single,Bachelor,Personal,1
ba785455-67a5-491e-8907-d288aac1bbbf,27,62756,39,317,41019,60,4,Single,Master,Home,0
ad4826c5-350e-479d-b550-5b548087333f,29,90258,18,618,5193,48,2,Married,PhD,Personal,1
ebaf57da-04ac-4102-9bae-83c349499d88,44,100730,11,581,32420,60,3,Divorced,High School,Car,1
a49ab5fa-17c7-42e6-8adf-c097e741ecee,21,112167,27,775,28935,24,1,Married,PhD,Car,1
a0a56999-5d85-43ac-ac55-db44e3c4c5f5,64,47912,10,551,18047,48,3,Married,Master,Business,0
02b2f379-d99b-47b0-b48a-6bd6bc4d7094,28,102702,36,639,22636,24,1,Single,Master,Personal,1
f7b5a16a-8455-4a0a-aee1-b0914e97adc9,44,70659,27,761,22178,60,1,Single,High School,Personal,1
15c40475-bea6-470c-b345-63376358c519,31,66840,34,700,32298,36,3,Divorced,Bachelor,Business,0
bc512a0e-0f1a-4c88-b7fd-074db1538d3a,37,101512,14,670,39394,48,1,Single,Bachelor,Home,0
2fc90ee0-789e-44dd-aed8-de635a936b66,28,147750,15,581,21082,12,2,Single,Bachelor,Home,1
4faf25e4-f0d2-4d67-954f-7c59e4398638,55,58623,6,689,48801,60,4,Married,Master,Business,0
6a740257-a1d2-44c8-b2c2-c8edfc44ce62,55,83303,2,636,42958,36,0,Divorced,High School,Business,0
3a5b886e-3ed2-46ee-b2b2-307c2e54d71c,53,66062,30,644,46050,60,3,Single,Bachelor,Business,0
a0407e18-cbe2-4b44-8694-517e169bdb1a,25,76690,11,818,49637,24,3,Single,Master,Personal,0
b6412791-dfd9-4b51-b9ba-d869f8ef006e,62,97582,7,572,12243,24,4,Married,Master,Home,1
12149e10-9880-470a-96ea-808829cd56ee,59,118980,24,552,35311,24,2,Single,Master,Car,1
8c6eec64-71c5-4eed-be1f-302e139afae5,61,43634,34,673,12364,36,0,Single,High School,Business,1
cf892cc1-a953-44f2-b910-3c13cd33559f,48,144710,11,305,36927,24,2,Divorced,PhD,Car,1
d6ff92ae-81f2-4f92-a2d1-68bac8bbd330,27,142501,20,713,16711,60,3,Married,High School,Car,1
42e78bef-2423-42b2-b78a-75bdbbd6e2ff,29,24090,25,797,22704,60,0,Married,Master,Business,0
e24f8e1f-5d43-4a4a-8344-cf3185c80733,28,65266,1,355,41227,60,1,Single,PhD,Car,0
2c8b8f64-00e0-4e1e-9f75-d38748b2c68b,32,50008,13,697,7369,48,3,Married,Bachelor,Car,1
094f84e7-9c8a-4500-92f9-1baefc2fc118,54,107643,3,537,23852,60,2,Married,Master,Home,1
ff1f7cd7-9114-4f70-8d2f-f073eb81be01,53,78704,16,789,48553,24,4,Divorced,Bachelor,Business,0
d9330765-5182-4ea4-b0d9-413dbf8dd165,43,131081,4,321,31233,48,1,Married,Master,Home,1
da5413a9-5bf4-48c9-a150-3ea0a431fbdd,44,82866,23,740,16569,48,0,Divorced,High School,Car,1
3d90a504-b41a-41b9-812b-2e057305deaa,57,137374,6,340,25421,48,3,Divorced,Bachelor,Car,1
8faa44e2-0a59-44e6-a0b3-4717d2bca14c,55,28382,22,557,21729,48,4,Single,High School,Personal,0
bc4872d5-4c7c-4e19-b899-dc72d150f789,64,67774,16,750,36434,36,4,Married,PhD,Personal,0
91bdbb8b-b80e-4684-b40c-b0abad843b66,60,94570,11,347,33457,60,2,Single,High School,Car,0
1d98f99c-3b57-4e31-baa1-a99ed584fcd3,42,94062,10,802,43148,36,4,Married,High School,Business,0
3b9762b3-7e4c-455b-8f44-df87b1fe3229,47,109609,10,438,35041,12,2,Married,High School,Car,1
5e2dfdfe-15b8-4e01-979f-3e7c7cab6036,55,66698,33,501,45619,36,0,Married,Bachelor,Home,0
74461a3b-f674-45ac-b43f-016c535b34ed,21,21110,36,808,32282,48,3,Divorced,High School,Business,0
808de48b-f777-480f-b1bf-b02e01cacc39,55,135266,28,585,11292,60,0,Married,Bachelor,Home,1
6a27fc60-3e58-4d8f-9a0b-f7096617ac4b,57,101981,35,532,39680,60,2,Married,Master,Personal,0
69d36fc2-c8a1-4e5b-b825-bb233aa6199e,34,20386,26,615,36137,24,0,Divorced,Master,Business,0
bed00a21-2d73-4904-918b-58beee703555,23,78513,21,760,44964,36,3,Single,PhD,Business,0
198affdb-d935-45a0-8a93-8f66ef7ee304,21,104120,1,849,16877,60,3,Single,Master,Home,1
e4c8c720-3dd8-4b0d-aff3-264eaa730e8a,25,131210,35,620,27479,12,4,Divorced,Master,Business,1
c032ea6b-077f-41d5-b97e-bbf1a7df6f74,46,119987,29,474,29434,12,2,Married,PhD,Home,1
57a78eba-e5d3-43e0-8560-1d5461fc4454,34,67801,6,338,13058,36,0,Single,Master,Home,1
46886042-811c-4c48-bd76-edd71ab516b2,59,134012,11,732,43448,24,4,Divorced,PhD,Car,1
4acf06aa-bcc0-4b7b-b18f-e3f93ff4016b,47,116085,2,784,24644,12,4,Divorced,High School,Car,1
1f7da709-2295-421a-9bcb-6715b6eacb30,29,91857,16,357,7112,24,0,Married,Master,Car,1
3ef0fd9f-85c7-45bb-bdaa-d73f59efa782,35,109976,31,795,31058,36,2,Single,High School,Personal,1
a86fb2fb-c4f4-4d52-828d-dfd616600f28,35,51566,7,433,46635,60,2,Divorced,High School,Home,0
32046a64-d3d8-486b-8a50-0b032ea605ea,46,126982,22,808,38243,24,3,Married,Bachelor,Business,1
a68dfab2-acb7-404a-9ad6-eb0e73d583bc,62,52521,37,455,5325,12,2,Divorced,High School,Personal,1
186559cb-eafe-4997-a7ac-a4b8c04f1829,33,130228,29,500,24647,24,4,Divorced,PhD,Personal,1
2d89018c-bd68-4f06-bc06-88030375ee26,52,43798,14,798,45807,60,3,Divorced,Bachelor,Car,0
52f4017a-5041-4689-a716-05c2e7f03f63,59,33565,9,701,23519,60,1,Single,High School,Business,0
4859014d-7581-4d87-929c-142e1392c982,52,43027,37,795,20817,12,3,Single,Master,Business,0
484dee0d-84e1-459f-b23a-071a4b029bee,24,127036,14,787,25637,24,4,Single,High School,Personal,1
0a42376f-8ff3-4491-af54-bfe507774f57,50,117631,29,459,14488,24,0,Single,High School,Home,1
c8e4bd2a-5b7e-4121-b25a-0a222fb725d2,57,25631,25,510,45903,48,0,Married,High School,Personal,0
a7f8df19-ea63-4350-9eb0-d43f7c8347c8,43,109865,13,752,5281,12,0,Divorced,High School,Business,1
64241ff3-cdb1-4ebc-9856-d3a43a0becd1,59,128556,2,369,38424,24,4,Divorced,Master,Home,1
ee45f548-1760-42a1-ba24-fccbf30aedf2,35,76878,35,613,7210,36,3,Divorced,Bachelor,Home,1
3976eac3-4789-42c6-9087-34581ba19517,63,65206,25,730,32821,48,0,Divorced,PhD,Home,0
acb0c185-f557-47e1-82cd-d46078888fd2,49,123473,13,681,36851,12,2,Single,PhD,Home,1
24c6e9ac-14f2-4fc5-88d3-34ceef322b61,56,78582,30,466,14092,60,1,Single,Bachelor,Home,1
806e9510-3937-484c-9dab-0892f6d95ed1,33,78334,13,690,45236,12,0,Divorced,Master,Home,0
113440a9-0bd0-4132-9cbb-26770969f9eb,52,92323,39,618,37911,36,0,Single,Bachelor,Business,0
020aa296-a624-4f76-95e6-c9b2087ae4ae,27,73619,9,416,24753,36,1,Single,Master,Car,0
72614328-3799-4b28-927f-a270f3589d54,42,123536,8,811,41701,60,2,Single,Bachelor,Personal,1
5d7d6e8e-e10e-4f4e-97ea-cb0944b82d08,48,46875,39,502,47373,60,1,Single,High School,Car,0
ec42b0d9-04b4-4b7b-85e0-c4a423a21c1a,22,44514,17,461,48543,60,0,Divorced,PhD,Car,0
093862b9-a042-48fd-91b9-67a29ce45f24,62,42580,35,761,49634,48,0,Married,High School,Personal,0
e7922ba7-3b8b-4487-a7f9-8d787235da0a,26,148129,35,500,35259,36,3,Divorced,Master,Business,1
5af1cb17-f219-4e81-96a2-adb9ea34455d,48,105827,11,530,26144,60,4,Married,High School,Business,1
f8b7a709-ab2a-4fe0-a9c8-220a14d2328b,48,24288,39,815,24675,36,3,Divorced,High School,Home,0
1d69f5cd-9fbe-4309-9363-66909d1f677c,64,26734,2,505,29748,48,3,Married,Master,Car,0
1445247e-141e-4a54-9db0-813309176501,64,103000,17,630,7048,48,3,Single,Master,Business,1
7de3e10f-0864-4312-a979-ac20c9e8a6a1,40,59008,6,646,37211,36,3,Single,Master,Personal,0
a1358ea3-97ff-4682-955c-f862687fa880,50,69349,30,648,32672,60,3,Divorced,High School,Home,0
2ad8973b-d502-40d8-ac74-9461f69659cb,31,27814,0,459,10323,12,2,Married,PhD,Car,0
add76657-5f21-44d1-8dd7-440385522f88,48,63154,30,551,48887,24,4,Married,PhD,Home,0
093431fc-8bf7-4b6d-90c3-2efba2fa1363,45,27851,12,521,6894,36,4,Divorced,Master,Car,1
b0954a89-00f2-402b-a97e-055a7291767f,59,144478,28,693,10320,48,4,Single,Master,Personal,1
27da87e2-c68b-4561-bbaa-fc6fbbf75634,53,21600,2,695,41744,60,2,Single,Bachelor,Car,0
efc3092b-36ed-427d-8d0c-09dab973cb73,21,76614,28,466,18225,24,2,Married,High School,Personal,1
9a04c370-6f4b-467c-9c76-dd636af0545a,47,92402,34,751,49222,36,2,Married,Master,Car,0
40f2790d-c1e1-4231-adc3-ebb5e842e075,33,23692,14,437,38176,12,0,Married,Bachelor,Business,0
c66112a3-0490-41c5-9b22-25d1214c199a,61,146745,20,509,33125,12,4,Single,High School,Home,1
dcf5fe31-2aa4-489f-b736-0b7e0c706db2,23,78027,18,513,11887,48,1,Divorced,High School,Personal,1
4748104b-ff4e-4ad5-9cf3-3ac9818bde55,59,137771,27,659,13145,48,3,Married,Master,Home,1
bb2b5f92-b7c6-410f-ab98-8c4dd7ee4540,26,40373,3,534,33183,48,0,Married,Bachelor,Personal,0
bc5e650f-b4bc-40c9-8560-de9722f3bb27,28,118636,12,696,25561,36,0,Divorced,High School,Business,1
08694fae-85fc-4382-a0de-67d333bee060,47,148219,14,603,38370,12,3,Single,Bachelor,Car,1
60ecc565-7492-4457-8734-83015a62e192,29,132013,38,408,25139,12,0,Married,PhD,Car,1
c1e536df-f5b4-4b4c-b49f-1b60b3c3f8fe,57,82805,31,689,37289,48,2,Single,PhD,Car,0
da56db57-0397-4796-9f95-6ce2c1f19773,53,132413,2,419,25453,48,0,Married,Bachelor,Home,1
512567a9-905d-463b-8285-ade4af4d73c0,62,100383,29,509,27704,60,4,Divorced,Master,Home,1
75a27bd4-1e53-49fd-a51f-9a27adfaec18,64,34507,19,726,43102,12,4,Divorced,Master,Home,0
eba570d3-e0e8-4b31-b010-9b179696f1d2,44,82931,1,843,14179,48,1,Married,PhD,Personal,1
fa9b5101-73a4-4dd8-b97b-878f338f7af4,35,95499,24,629,42004,48,4,Divorced,High School,Car,0
900c3a6d-f39f-41da-a54d-1997d7d22e5d,52,91642,10,525,48275,48,3,Divorced,Bachelor,Car,0
1e58400b-2121-47d1-b5c4-63e583061bd5,52,92869,0,446,25618,60,3,Married,High School,Car,1
2743c742-7b6e-4ea2-9154-9a9bdc5b1ffb,44,134362,9,639,40886,12,4,Married,High School,Home,1
0036ae3d-d842-41aa-8e01-abfa71fbae2d,61,117449,16,479,6083,12,2,Single,High School,Personal,1
7c178e18-f736-4841-be86-fe86604b82af,32,116819,29,589,8546,12,4,Single,High School,Personal,1
4b6a6c8d-5460-4028-8990-3adcae5bd6ad,59,59423,34,486,45999,60,2,Single,Master,Car,0
c1eb00a4-c07f-4a74-b45d-e1f7b06693f5,22,123612,18,785,39118,36,3,Single,High School,Car,1
da7ff8e1-7d05-4e3e-aa52-f721dfd42971,23,115351,33,636,23378,60,4,Divorced,Bachelor,Business,1
a592bcd0-a592-47a3-9a11-4da0c2dc72ad,57,106120,31,407,19140,24,1,Single,Master,Home,1
ae918344-a1d5-4387-b303-d610ff32d7b9,37,137409,11,425,32029,60,3,Married,Master,Personal,1
af12abbc-8742-48c5-85b5-4d3647fd132e,22,110918,16,333,22127,24,1,Married,High School,Home,1
16da7951-1717-4572-801b-199d9936db2c,22,86600,5,737,41050,48,3,Single,PhD,Home,0
a8372ddc-a1dc-409f-8ced-9dc98d252873,48,61848,12,575,11611,24,0,Married,Master,Home,1
215ffabe-ecdb-495a-a358-ff928b4060d4,43,129419,38,793,48324,60,0,Single,Bachelor,Business,1
9922a88d-a26f-44c5-aa7b-396d21545ce0,57,26820,21,481,42678,36,0,Married,PhD,Personal,0
f7c36e5d-5006-439f-9519-2bdd2cd4290c,52,28512,10,538,48216,12,1,Married,PhD,Business,0
802e1e24-f922-484b-b209-684280c1b214,53,56725,6,647,41753,60,2,Divorced,High School,Personal,0
23078e37-0806-47b9-97b2-e6058302a533,21,71534,20,445,27140,12,3,Divorced,PhD,Business,0
5fc69183-aa30-4da3-a590-3a0b3cedc378,39,105151,0,343,45211,24,0,Single,Bachelor,Business,0
e5915fdc-279a-47bb-9b29-f428d9f118f7,22,145191,29,798,44209,48,1,Divorced,Bachelor,Personal,1
51a5b5d3-268a-4701-85e3-b7d32e62d2ed,64,59776,18,594,12976,48,3,Divorced,PhD,Car,1
9e39cff8-116a-4cdf-a8c0-c3d7e0e1a9aa,46,80945,28,830,25537,60,0,Divorced,Master,Car,1
51360a89-d832-48ff-8634-1e8aff6d94ea,52,134348,34,510,37039,24,0,Single,Bachelor,Business,1
68c0ecca-13b6-4aa7-bf98-b38085b74d05,26,103420,19,701,6949,24,0,Single,Master,Car,1
7331c9f7-fea5-4120-9d3a-e3eee780bb5f,52,67455,35,530,26877,12,1,Married,PhD,Home,0
1b56a40b-de13-4e4a-b236-8b3362f1efad,24,103488,38,638,8133,24,2,Divorced,PhD,Car,1
81037a5b-e85b-4ac4-b2a6-f40303315a79,31,140580,0,304,16709,36,0,Married,PhD,Car,1
0d12dfb1-dcde-4329-8ee3-e23e719b40e9,37,72433,22,610,7134,48,0,Married,Master,Personal,1
514acd00-2837-4d36-9bc5-9ec30f6f666e,58,29711,30,461,31437,36,2,Married,Master,Personal,0
266c0a50-04f4-4faf-93be-1c383244edb2,44,79262,34,515,38378,36,2,Single,High School,Car,0
f536deef-d5dc-4c24-92aa-c9f9352d5154,25,106009,21,470,45334,12,4,Single,Master,Car,0
c57c2c01-2dba-496d-900b-f9989233cc2b,54,103785,6,551,27501,24,0,Divorced,Bachelor,Personal,1
3699770c-9770-408b-93b4-c8d0f7fd63a7,26,29597,32,337,37731,12,3,Married,PhD,Business,0
51378d78-d66f-4a9a-abc6-db79f8f7b587,42,80067,35,527,31906,48,4,Married,Master,Personal,0
ea4a820b-8162-47cd-85e2-b35b7b1b93fc,31,107520,6,577,40329,12,3,Single,Master,Car,0
c5ba85b4-922a-4d1f-9a30-0aec3bc000ca,36,68022,26,584,28429,36,2,Divorced,Master,Car,0
0b52c24c-91c7-4aa9-be80-8d8c89bcf227,53,140743,1,809,38596,12,4,Married,Bachelor,Home,1
96d5f5a0-c6a6-4841-9de7-afaebc24d9ed,29,101924,16,665,23079,24,1,Divorced,Master,Personal,1
3e2e7332-4923-4216-ae96-0fd25440c4a4,26,132673,0,367,48164,12,4,Divorced,Bachelor,Business,0
5866917e-72a7-413b-b3c9-672c38c2ff0d,36,126263,29,403,48233,24,4,Married,PhD,Home,0
3d99a42f-cd09-4789-92e7-244f52a18f69,49,135856,21,700,16072,36,2,Single,Bachelor,Car,1
97dec033-6589-47c1-8366-ff7d260e19b9,23,38782,27,545,27158,24,0,Single,High School,Car,0
bc84b779-a4c8-40ce-acf2-efda622fdd97,40,71782,32,491,41233,24,2,Single,High School,Home,0
c2b275ee-a6ec-44c3-a7fa-c2f43b009120,56,92144,25,595,39057,24,2,Divorced,PhD,Home,0
9c92b334-93df-406d-967f-9ff799f2432e,39,118651,34,443,33196,24,2,Single,High School,Personal,1
337a36c3-b826-4109-b641-f9723c00d0e0,46,75013,10,325,43179,48,3,Single,PhD,Car,0
2e734633-0e37-45df-b9a9-ce2ae647821e,23,130716,6,550,32967,60,1,Married,Bachelor,Home,1
acc7ddde-9efa-4a4a-8366-a29032bb925e,39,128309,27,492,21856,48,3,Divorced,High School,Personal,1
c5c9871c-e2db-4c26-bed1-c75113f9ea0c,40,138030,24,680,44310,12,4,Divorced,Master,Car,1
ae913e0f-aeca-4c4f-af3e-fcb1ca80b2b3,52,92036,30,301,15767,48,2,Divorced,PhD,Car,1
7e0d0ace-e489-4c4d-b0bf-32f08ce593cc,27,55342,2,344,6896,48,0,Divorced,High School,Personal,1
4014c1a4-e1f4-438d-8956-07469d2331da,61,105745,32,302,24538,24,2,Divorced,High School,Personal,1
34f0071a-e7f0-43ac-bfc5-7a7f7f470eb6,53,40977,33,748,27701,12,3,Single,High School,Business,0
e68474de-74ee-4e01-8e04-4fe30fc8fcc2,60,123576,20,434,16691,12,1,Married,High School,Home,1
1f042381-e31a-4dff-b205-d65c74e09cc4,59,77396,36,590,22995,36,3,Divorced,Master,Business,1
7729afa1-0e10-4ba1-8159-400cb97332e1,38,134836,18,577,27818,24,2,Single,Master,Car,1
44283aad-9ce5-4e39-ab80-e0e96102feba,60,126998,36,475,25860,48,1,Single,PhD,Business,1
82e78d6b-f40a-482c-b937-dfc039d67653,21,70021,20,581,37106,36,0,Married,Bachelor,Personal,0
fa4abf38-4b1f-4fb2-8211-65787b2db6ed,31,89057,13,419,29761,36,3,Single,PhD,Personal,0
15757b01-ee0d-48b4-9fd1-d236df47413b,48,147194,9,473,18316,48,3,Divorced,High School,Business,1
122ef812-33fd-41c4-9f1a-809360264e3a,45,138559,6,738,17197,12,4,Single,PhD,Car,1
8419ae6b-b74e-4616-89ef-72eabdf9dccd,43,86836,28,758,41101,24,1,Divorced,Bachelor,Car,0
6bbf9a81-83b0-45d5-aa5e-11ec5dd03b95,51,47075,39,640,23610,24,3,Married,Master,Business,0
